iter	RMSE
0	77106.89314
1	75158.29334
2	73027.42063
3	70912.36192
4	69071.23995
5	67294.27888
6	65589.87875
7	64074.4116
8	62420.67178
9	60924.66056
10	59415.24622
11	57995.38939
12	56748.24038
13	55384.9741
14	54177.61887
15	53109.86883
16	51928.38624
17	50899.50986
18	49738.87551
19	48810.18904
20	47760.60573
21	46860.19452
22	45989.57482
23	45075.81266
24	44326.4094
25	43491.07188
26	42705.37035
27	41996.97723
28	41381.70783
29	40669.71079
30	40086.87356
31	39458.65971
32	38818.44363
33	38249.10136
34	37676.77278
35	37029.98657
36	36504.55779
37	36012.65736
38	35542.22908
39	35077.19544
40	34621.98176
41	34205.86319
42	33752.30467
43	33361.43574
44	32970.27857
45	32580.80037
46	32240.42168
47	31899.83785
48	31560.67478
49	31235.33754
50	30917.88593
51	30561.19624
52	30241.99411
53	29914.88789
54	29550.22599
55	29233.69339
56	28960.48314
57	28710.74035
58	28492.00416
59	28190.79048
60	27911.23447
61	27710.89317
62	27466.11612
63	27234.54496
64	27003.46818
65	26726.45095
66	26514.93987
67	26287.85093
68	26139.24811
69	25912.3898
70	25746.76503
71	25559.16523
72	25370.31638
73	25244.25987
74	25081.442
75	24949.68752
76	24786.32154
77	24611.91082
78	24452.8599
79	24315.52843
80	24149.3163
81	24018.06505
82	23846.35778
83	23727.02401
84	23600.63456
85	23463.77126
86	23324.22533
87	23200.70424
88	23074.16526
89	22962.16357
90	22794.2859
91	22709.82744
92	22590.33616
93	22484.12457
94	22359.6696
95	22257.83999
96	22164.15315
97	22043.05282
98	21944.61063
99	21847.04282
100	21762.12728
101	21689.21876
102	21589.39287
103	21471.76618
104	21404.66188
105	21312.25671
106	21260.25507
107	21178.3994
108	21109.03666
109	21039.31368
110	20967.50827
111	20905.45092
112	20858.29345
113	20792.58807
114	20685.03656
115	20621.66119
116	20566.04614
117	20505.38598
118	20442.59862
119	20371.65344
120	20297.39329
121	20248.74961
122	20195.48373
123	20148.29104
124	20088.42499
125	20030.24025
126	19946.13868
127	19919.80835
128	19865.1052
129	19806.4909
130	19752.29256
131	19700.73509
132	19662.27742
133	19605.2863
134	19538.11139
135	19474.31872
136	19408.8658
137	19386.71555
138	19336.32798
139	19285.45393
140	19205.91294
141	19155.65722
142	19122.60282
143	19076.31508
144	19006.79443
145	18988.82559
146	18944.18738
147	18905.79842
148	18852.63787
149	18795.14058
150	18722.68721
151	18669.38999
152	18621.60945
153	18565.25979
154	18506.35926
155	18486.67133
156	18434.21249
157	18381.31486
158	18327.81931
159	18277.56681
160	18221.95105
161	18186.22079
162	18140.05587
163	18099.49119
164	18063.51419
165	18028.9559
166	17977.64004
167	17927.72877
168	17896.06347
169	17864.60964
170	17829.82109
171	17785.63762
172	17762.50686
173	17729.42073
174	17700.86784
175	17649.15551
176	17616.78613
177	17571.33477
178	17539.85292
179	17505.54518
180	17473.65952
181	17425.65339
182	17386.03289
183	17362.82259
184	17334.92681
185	17303.82128
186	17274.29764
187	17236.53817
188	17190.66119
189	17168.48417
190	17150.83975
191	17122.60396
192	17090.5659
193	17059.71042
194	17033.51806
195	16993.18353
196	16974.91948
197	16958.83102
198	16935.74344
199	16908.96991
200	16866.87888
201	16826.88288
202	16785.13014
203	16747.95146
204	16729.15685
205	16709.57593
206	16678.38058
207	16627.94388
208	16595.21368
209	16570.22554
210	16539.88946
211	16505.14489
212	16473.79506
213	16452.31819
214	16438.49972
215	16401.26945
216	16358.23764
217	16332.67414
218	16319.00199
219	16296.92399
220	16255.22092
221	16226.68337
222	16198.47187
223	16181.4388
224	16136.98688
225	16096.9042
226	16065.25078
227	16037.24784
228	16008.08517
229	15973.88536
230	15930.71004
231	15904.53727
232	15867.50486
233	15855.27554
234	15819.88855
235	15796.72494
236	15761.3799
237	15746.42774
238	15713.65244
239	15685.88126
240	15648.69203
241	15616.56249
242	15581.62468
243	15564.5984
244	15538.04865
245	15508.18024
246	15501.62521
247	15461.33827
248	15445.45842
249	15417.43543
250	15392.9291
251	15366.33511
252	15327.9677
253	15306.45087
254	15278.75813
255	15247.18735
256	15219.25095
257	15192.13393
258	15155.86533
259	15125.54695
260	15106.13784
261	15075.18596
262	15055.15539
263	15037.85172
264	15020.30433
265	14998.63381
266	14979.43558
267	14955.85715
268	14923.47291
269	14899.46829
270	14870.08475
271	14857.88735
272	14830.33239
273	14805.99768
274	14778.52857
275	14749.76139
276	14726.2151
277	14708.15516
278	14682.00921
279	14671.68104
280	14640.31112
281	14619.54662
282	14597.48421
283	14578.07253
284	14542.68068
285	14524.88619
286	14516.44906
287	14488.70982
288	14462.83585
289	14433.62881
290	14411.91
291	14388.07812
292	14370.6974
293	14345.12056
294	14327.5104
295	14303.26095
296	14276.10245
297	14253.2569
298	14227.78522
299	14201.94667
300	14179.82784
301	14153.88305
302	14138.12109
303	14113.12882
304	14091.67953
305	14064.16864
306	14062.08276
307	14026.64664
308	14001.93934
309	13993.88523
310	13978.21157
311	13971.78202
312	13940.17772
313	13927.83371
314	13905.39401
315	13890.32373
316	13870.52866
317	13830.82163
318	13816.48525
319	13814.53071
320	13786.73821
321	13772.28508
322	13743.92825
323	13723.41599
324	13705.58887
325	13682.35013
326	13654.57694
327	13639.61592
328	13637.65221
329	13623.54895
330	13609.89121
331	13608.01111
332	13592.24653
333	13565.48963
334	13552.20093
335	13532.25029
336	13509.05923
337	13496.02008
338	13483.12581
339	13466.3116
340	13444.05939
341	13420.94173
342	13401.50508
343	13372.60338
344	13359.61351
345	13347.12933
346	13345.0446
347	13335.71844
348	13300.08391
349	13268.09761
350	13229.39872
351	13211.06484
352	13181.81346
353	13174.32671
354	13150.51596
355	13134.2203
356	13109.78583
357	13097.97442
358	13089.409
359	13069.56637
360	13058.25642
361	13035.52629
362	13030.37551
363	13004.13835
364	12996.04366
365	12980.29936
366	12958.5445
367	12937.65652
368	12922.23988
369	12901.72802
370	12885.23971
371	12870.89759
372	12842.72662
373	12822.67872
374	12800.48091
375	12788.68097
376	12762.00577
377	12739.48761
378	12714.05254
379	12693.66618
380	12670.88006
381	12641.1588
382	12634.22551
383	12610.72122
384	12603.47894
385	12571.23826
386	12551.70323
387	12530.75079
388	12515.82316
389	12503.41225
390	12478.08641
391	12451.98286
392	12432.0968
393	12415.63156
394	12386.65165
395	12370.22601
396	12361.71467
397	12338.03018
398	12322.18283
399	12302.28683
400	12279.40921
401	12264.48176
402	12240.08543
403	12219.29336
404	12196.75696
405	12191.65539
406	12176.71189
407	12160.00116
408	12146.17963
409	12129.94419
410	12109.87235
411	12084.9204
412	12065.16641
413	12054.61444
414	12038.88163
415	12019.23494
416	12009.5226
417	12002.18588
418	11988.55076
419	11969.91359
420	11952.84723
421	11936.35342
422	11914.63564
423	11895.48812
424	11875.25218
425	11865.34049
426	11841.00262
427	11823.23951
428	11794.22274
429	11771.64209
430	11752.21392
431	11744.50917
432	11731.86373
433	11728.55577
434	11710.11784
435	11694.67152
436	11688.07534
437	11678.92215
438	11661.51602
439	11647.96765
440	11619.88234
441	11609.25385
442	11594.77745
443	11578.89038
444	11565.29537
445	11544.21404
446	11528.52367
447	11523.14948
448	11517.2193
449	11503.43435
450	11486.46964
451	11470.65362
452	11457.27067
453	11451.29943
454	11428.209
455	11415.44671
456	11400.85203
457	11381.3154
458	11355.23314
459	11344.20288
460	11325.64445
461	11304.52646
462	11287.85304
463	11263.38092
464	11244.3448
465	11231.73518
466	11212.31474
467	11188.59086
468	11174.88827
469	11171.61998
470	11155.45422
471	11138.26102
472	11124.98842
473	11114.33793
474	11098.40475
475	11085.52828
476	11062.46873
477	11053.28873
478	11041.87819
479	11029.29117
480	11010.89365
481	11005.73685
482	10987.1181
483	10973.54233
484	10956.11355
485	10945.99333
486	10939.13125
487	10918.43833
488	10909.97457
489	10895.78203
490	10882.63666
491	10877.17576
492	10871.56644
493	10856.67409
494	10835.15254
495	10824.25001
496	10810.53477
497	10795.09087
498	10793.73696
499	10789.61003
500	10773.72333
501	10772.20476
502	10766.13499
503	10755.75693
504	10740.157
505	10723.92989
506	10712.03523
507	10705.49455
508	10693.93268
509	10683.2474
510	10678.8814
511	10662.11286
512	10650.16667
513	10638.41956
514	10624.94799
515	10615.72764
516	10599.22263
517	10582.52051
518	10564.97439
519	10553.21608
520	10545.90065
521	10533.84265
522	10514.96393
523	10507.477
524	10496.95461
525	10489.98401
526	10473.56684
527	10462.27021
528	10448.72124
529	10429.39355
530	10426.74072
531	10418.05642
532	10416.19187
533	10414.71603
534	10398.15474
535	10382.93252
536	10367.88026
537	10357.5467
538	10347.376
539	10337.77836
540	10324.06244
541	10314.54909
542	10304.75911
543	10291.69466
544	10277.09276
545	10264.4193
546	10260.25692
547	10251.11876
548	10236.80078
549	10235.05824
550	10219.70102
551	10208.67208
552	10192.33072
553	10184.81142
554	10172.79242
555	10162.0412
556	10143.00476
557	10135.51376
558	10119.93718
559	10108.50069
560	10098.7578
561	10080.84341
562	10064.80735
563	10049.1596
564	10032.10595
565	10025.08802
566	10017.6212
567	10016.61237
568	10003.57154
569	9989.512643
570	9980.636059
571	9957.472227
572	9941.07949
573	9927.934379
574	9915.658014
575	9902.432068
576	9901.408308
577	9879.050653
578	9873.954504
579	9867.72095
580	9853.530154
581	9841.781727
582	9832.133279
583	9822.190125
584	9809.56812
585	9800.510709
586	9791.328108
587	9789.20963
588	9767.889319
589	9746.875176
590	9732.891908
591	9719.863217
592	9718.911655
593	9708.641246
594	9706.9421
595	9697.073222
596	9686.359864
597	9673.933542
598	9658.034993
599	9654.390268
600	9653.111359
601	9648.922189
602	9631.60496
603	9619.114448
604	9612.21586
605	9603.400449
606	9593.5218
607	9582.741779
608	9568.977418
609	9559.294741
610	9546.537973
611	9539.169435
612	9533.31453
613	9519.026629
614	9518.064468
615	9502.279102
616	9488.037818
617	9477.256191
618	9460.721495
619	9452.458633
620	9431.50889
621	9420.307791
622	9404.354039
623	9403.32794
624	9393.298353
625	9381.118029
626	9375.350548
627	9373.618865
628	9364.808744
629	9364.103066
630	9356.785231
631	9343.686037
632	9327.406652
633	9307.364524
634	9298.213381
635	9289.225721
636	9269.041632
637	9267.852166
638	9256.813169
639	9250.722363
640	9242.863684
641	9232.208482
642	9224.569315
643	9223.705246
644	9215.046473
645	9204.10419
646	9191.700432
647	9175.355185
648	9164.863307
649	9153.813794
650	9145.735451
651	9137.144567
652	9124.240484
653	9115.344473
654	9109.003867
655	9101.384903
656	9093.128303
657	9076.272564
658	9067.88493
659	9054.157856
660	9043.226675
661	9042.32845
662	9027.83164
663	9017.663853
664	9008.508942
665	8989.68152
666	8981.278099
667	8963.849734
668	8944.987429
669	8943.12298
670	8931.334071
671	8922.855434
672	8910.958961
673	8901.086037
674	8891.079744
675	8890.136857
676	8876.390369
677	8866.313104
678	8850.615791
679	8845.488125
680	8824.822383
681	8814.198021
682	8801.181862
683	8778.700521
684	8770.297462
685	8769.501924
686	8754.167886
687	8743.301222
688	8742.561532
689	8733.323104
690	8723.388036
691	8712.941759
692	8705.853422
693	8692.197466
694	8683.60883
695	8677.405502
696	8663.097782
697	8653.826277
698	8634.914176
699	8621.111669
700	8613.235555
701	8612.160839
702	8608.576994
703	8592.505592
704	8585.526283
705	8576.867467
706	8569.654784
707	8560.099183
708	8552.41175
709	8543.462211
710	8539.230108
711	8535.919505
712	8529.952394
713	8521.433779
714	8510.280831
715	8503.001017
716	8493.305479
717	8485.312189
718	8475.795723
719	8459.136602
720	8450.52537
721	8441.457351
722	8431.520267
723	8425.766181
724	8420.222745
725	8413.04559
726	8412.393832
727	8405.363137
728	8400.094681
729	8399.36875
730	8388.87376
731	8376.837044
732	8367.515939
733	8359.911882
734	8356.159945
735	8346.270054
736	8342.721686
737	8332.791753
738	8316.777638
739	8310.035492
740	8295.4688
741	8294.838227
742	8287.266479
743	8280.794925
744	8268.000535
745	8267.165723
746	8251.72379
747	8248.799186
748	8234.639989
749	8229.977297
750	8224.589333
751	8216.866876
752	8207.147453
753	8199.759254
754	8192.362047
755	8191.108699
756	8180.487362
757	8173.246147
758	8164.851183
759	8150.307154
760	8148.911909
761	8148.076413
762	8141.595525
763	8136.755083
764	8122.976124
765	8115.648608
766	8107.840876
767	8099.060146
768	8092.668727
769	8081.71882
770	8076.409214
771	8067.265342
772	8058.518615
773	8055.25636
774	8044.539731
775	8037.413596
776	8036.289845
777	8028.514374
778	8018.682649
779	8009.381415
780	8002.088853
781	8001.3438
782	7997.120809
783	7985.524955
784	7981.673821
785	7979.079612
786	7968.67004
787	7965.125179
788	7956.822167
789	7954.900087
790	7953.241617
791	7942.544465
792	7941.802124
793	7940.956194
794	7936.852213
795	7917.11161
796	7908.493897
797	7905.127856
798	7895.00031
799	7890.43543
800	7882.410312
801	7871.220052
802	7866.919267
803	7862.597911
804	7859.128355
805	7843.392548
806	7836.231779
807	7827.688282
808	7826.984284
809	7814.261455
810	7799.145705
811	7789.033818
812	7782.952705
813	7776.197974
814	7772.905433
815	7765.166239
816	7755.838313
817	7747.186067
818	7730.520677
819	7723.755092
820	7716.973122
821	7711.595343
822	7699.211828
823	7690.105737
824	7684.806441
825	7678.359465
826	7663.982479
827	7653.228724
828	7645.274861
829	7634.527708
830	7626.616992
831	7614.297584
832	7604.658838
833	7603.313548
834	7589.075623
835	7583.395529
836	7576.255416
837	7571.574423
838	7564.918429
839	7563.791716
840	7563.26001
841	7554.573601
