iter	Passed	Remaining
0	10	10797
1	22	11108
2	33	11020
3	45	11348
4	56	11259
5	67	11173
6	78	11164
7	89	11140
8	100	11091
9	111	11007
10	126	11374
11	136	11269
12	147	11228
13	158	11178
14	169	11109
15	179	11065
16	190	11038
17	201	10978
18	210	10846
19	218	10698
20	226	10554
21	234	10428
22	244	10365
23	252	10253
24	260	10157
25	268	10071
26	277	9995
27	285	9927
28	293	9843
29	302	9784
30	310	9710
31	319	9650
32	327	9595
33	335	9539
34	344	9495
35	352	9444
36	360	9392
37	369	9353
38	377	9312
39	386	9271
40	394	9226
41	402	9187
42	410	9139
43	418	9100
44	427	9063
45	435	9025
46	443	8997
47	451	8963
48	460	8932
49	468	8904
50	477	8877
51	485	8852
52	493	8825
53	502	8799
54	510	8772
55	518	8746
56	527	8721
57	535	8697
58	543	8674
59	552	8653
60	560	8631
61	568	8605
62	577	8583
63	585	8566
64	594	8544
65	602	8529
66	611	8511
67	619	8490
68	628	8474
69	636	8459
70	644	8437
71	653	8418
72	661	8402
73	670	8385
74	678	8370
75	687	8354
76	695	8335
77	704	8321
78	712	8304
79	721	8292
80	729	8274
81	737	8259
82	746	8245
83	754	8232
84	763	8215
85	771	8196
86	779	8182
87	787	8164
88	796	8149
89	804	8136
90	814	8134
91	822	8119
92	830	8102
93	839	8088
94	847	8074
95	855	8059
96	864	8044
97	872	8031
98	881	8019
99	889	8004
100	898	7994
101	906	7981
102	914	7967
103	923	7952
104	931	7943
105	940	7930
106	948	7915
107	956	7899
108	964	7887
109	973	7872
110	981	7861
111	989	7847
112	997	7832
113	1007	7826
114	1016	7819
115	1024	7811
116	1035	7813
117	1044	7806
118	1053	7798
119	1062	7792
120	1071	7784
121	1080	7777
122	1089	7768
123	1098	7761
124	1107	7752
125	1116	7741
126	1124	7731
127	1133	7720
128	1142	7714
129	1151	7705
130	1160	7698
131	1169	7687
132	1178	7679
133	1186	7665
134	1194	7652
135	1202	7639
136	1210	7624
137	1218	7609
138	1226	7599
139	1235	7586
140	1243	7574
141	1251	7562
142	1259	7548
143	1267	7536
144	1276	7525
145	1284	7511
146	1292	7500
147	1300	7488
148	1308	7475
149	1316	7462
150	1325	7452
151	1333	7439
152	1342	7429
153	1350	7419
154	1358	7407
155	1366	7394
156	1374	7382
157	1383	7372
158	1391	7360
159	1399	7348
160	1407	7335
161	1415	7322
162	1424	7312
163	1432	7302
164	1440	7291
165	1448	7278
166	1457	7269
167	1465	7259
168	1474	7248
169	1482	7237
170	1490	7225
171	1499	7216
172	1507	7205
173	1515	7195
174	1524	7184
175	1532	7173
176	1540	7162
177	1548	7151
178	1556	7140
179	1565	7130
180	1573	7119
181	1582	7110
182	1590	7100
183	1598	7089
184	1606	7078
185	1614	7067
186	1623	7057
187	1631	7046
188	1639	7036
189	1648	7025
190	1656	7015
191	1664	7005
192	1672	6994
193	1681	6984
194	1689	6974
195	1698	6965
196	1706	6954
197	1714	6943
198	1722	6934
199	1731	6924
200	1739	6913
201	1747	6903
202	1755	6893
203	1764	6884
204	1772	6874
205	1780	6864
206	1789	6853
207	1797	6843
208	1806	6835
209	1814	6824
210	1822	6815
211	1830	6804
212	1838	6794
213	1847	6785
214	1855	6774
215	1863	6764
216	1872	6755
217	1880	6747
218	1889	6737
219	1897	6727
220	1905	6717
221	1913	6707
222	1921	6696
223	1930	6686
224	1938	6675
225	1946	6667
226	1954	6657
227	1963	6648
228	1971	6638
229	1980	6628
230	1988	6618
231	1997	6613
232	2006	6605
233	2016	6600
234	2024	6591
235	2033	6583
236	2042	6575
237	2051	6568
238	2060	6560
239	2069	6553
240	2078	6546
241	2087	6538
242	2096	6531
243	2105	6522
244	2114	6515
245	2123	6507
246	2131	6499
247	2141	6492
248	2149	6483
249	2158	6476
250	2167	6467
251	2176	6459
252	2184	6448
253	2192	6439
254	2200	6429
255	2209	6421
256	2217	6411
257	2226	6402
258	2234	6392
259	2242	6381
260	2250	6371
261	2258	6362
262	2266	6352
263	2275	6342
264	2283	6332
265	2291	6322
266	2299	6313
267	2308	6304
268	2316	6294
269	2324	6284
270	2332	6274
271	2340	6265
272	2349	6255
273	2357	6246
274	2365	6236
275	2373	6227
276	2381	6216
277	2390	6207
278	2398	6198
279	2406	6188
280	2415	6179
281	2423	6170
282	2431	6160
283	2439	6150
284	2447	6141
285	2455	6131
286	2464	6121
287	2472	6113
288	2480	6103
289	2488	6093
290	2497	6083
291	2505	6074
292	2513	6065
293	2521	6055
294	2530	6046
295	2538	6036
296	2546	6027
297	2555	6018
298	2563	6010
299	2571	6001
300	2580	5991
301	2588	5983
302	2597	5974
303	2605	5965
304	2613	5955
305	2622	5946
306	2630	5937
307	2638	5929
308	2647	5919
309	2655	5910
310	2663	5901
311	2671	5891
312	2680	5882
313	2688	5873
314	2696	5863
315	2704	5854
316	2713	5845
317	2721	5836
318	2729	5827
319	2738	5819
320	2746	5809
321	2754	5800
322	2763	5791
323	2771	5782
324	2780	5774
325	2788	5765
326	2796	5755
327	2804	5746
328	2813	5737
329	2821	5728
330	2829	5719
331	2838	5710
332	2846	5701
333	2855	5693
334	2863	5684
335	2872	5675
336	2881	5668
337	2889	5659
338	2897	5650
339	2906	5641
340	2914	5632
341	2922	5623
342	2931	5615
343	2939	5606
344	2948	5597
345	2956	5587
346	2964	5579
347	2973	5570
348	2983	5565
349	2992	5557
350	3001	5550
351	3010	5542
352	3019	5534
353	3028	5526
354	3037	5518
355	3046	5511
356	3055	5502
357	3064	5494
358	3073	5486
359	3081	5478
360	3090	5470
361	3099	5462
362	3107	5453
363	3117	5446
364	3125	5438
365	3134	5429
366	3143	5421
367	3151	5413
368	3160	5404
369	3168	5394
